"((((1.4935, 20.6193), 80000), 20), 0)"
"((((1.5169, 117.8789), 60000), 0), 0)"
"((((1.5169, 117.8789), 60000), 20), 0)"
"((((1.5013, 198.8483), -80000), 0), 0)"
"((((1.0957, 157.9964), 80000), 0), 0)"
"((((1.0957, 82.9422), -80000), 3.141592653589793), 0)"
"((((1.0957, 82.9422), -80000), -20), 0)"
"((((1.1035, 54.5179), 80000), 0), 0)"
"((((1.2517, 82.9422), -80000), 0), 0)"
"((((1.1347, 198.8483), -80000), 0), 0)"
"((((1.3141, 198.8483), 40000), -3.141592653589793), 0)"
"((((1.4311, 198.8483), -80000), 0), 0)"
"((((1.4311, 198.8483), -80000), 3.141592653589793), 0)"
"((((1.4155, 117.8789), 100000), -3.141592653589793), 0)"
"((((0.9319, 157.9964), 40000), -3.141592653589793), 0)"
"((((0.9319, 157.9964), 40000), 20), 0)"
"((((1.0255, 117.8789), -60000), 0), 0)"
"((((1.0255, 117.8789), -60000), 3.141592653589793), 0)"
"((((0.9553, 33.9805), -100000), 0), 0)"
"((((0.9553, 82.9422), 40000), 0), 0)"
"((((0.9631, 82.9422), 80000), 0), 0)"
"((((0.9631, 82.9422), 80000), 20), 0)"
"((((0.9553, 54.5179), -80000), 0), 0)"
"((((0.9475, 20.6193), -100000), 0), 0)"
"((((1.1269, 157.9964), 60000), 0), 0)"
"((((1.1269, 157.9964), 60000), 20), 0)"
"((((1.2049, 117.8789), 80000), 0), 0)"
"((((1.2049, 117.8789), 80000), -3.141592653589793), 0)"
"((((1.5091, 54.5179), -80000), -20), 0)"
"((((1.5169, 33.9805), -80000), 3.141592653589793), 0)"
"((((1.5169, 33.9805), -80000), -20), 0)"
"((((1.5247, 54.5179), -60000), 0), 0)"
"((((1.5247, 54.5179), -60000), -20), 0)"
"((((1.5013, 54.5179), 40000), 0), 0)"
"((((1.5013, 54.5179), 40000), 20), 0)"
"((((1.4701, 117.8789), 100000), 0), 0)"
"((((1.3999, 198.8483), 40000), -3.141592653589793), 0)"
"((((1.3063, 198.8483), 100000), 0), 0)"
"((((1.3765, 82.9422), -100000), 0), 0.0)"
"((((1.3765, 82.9422), -100000), 3.141592653589793), 0)"
"((((1.3609, 157.9964), -60000), 0), 0)"
"((((1.3609, 157.9964), -60000), -20), 0)"
"((((1.1893, 82.9422), 80000), 20), 0)"
"((((1.2205, 117.8789), 60000), 20), 0)"
"((((1.4233, 82.9422), 100000), 0), 0)"
"((((1.3687, 198.8483), -80000), -20), 0)"
"((((1.3843, 198.8483), -80000), 3.141592653589793), 0)"
"((((0.9241, 198.8483), 60000), 0), 0)"
"((((0.9241, 198.8483), 60000), 20), 0)"
"((((0.8695, 198.8483), -60000), 0), 0)"
"((((0.8695, 198.8483), -60000), -20), 0)"
"((((0.8773, 54.5179), -40000), 3.141592653589793), 0)"
"((((1.0333, 20.6193), 80000), 0), 0)"
"((((0.9163, 198.8483), 80000), -3.141592653589793), 0)"
"((((1.0021, 198.8483), 80000), 0), 0)"
"((((1.0021, 198.8483), 80000), 20), 0)"
"((((1.0099, 198.8483), -80000), 0), 0)"
"((((0.9865, 82.9422), -100000), 0), 0)"
